UGL,Union Glacier Blue-Ice Runway,AQ
BVX,Municipal,US
BVY,Beverly Municipal Airport,US
BWF,Walney Island,GB
BWG,Warren County,US
BWH,Butterworth,MY
BWI,Baltimore/Wash International Thurgood Marshall Airport,US
BWK,Brac,HR
PPO,Powell Point,BS
DJM,Djambala,CG
DUE,Dundo,AO
UAR,Bouarfa,MA
HAL,Halali,NA
NUI,Nuiqsut Airport,US
PKL,Pakatoa Island,NZ
PMU,SPB,US
NWT,Nowata,PG
OCM,Boolgeeda,AU
NTG,Nantong Xingdong Airport,CN
NYA,Nyagan Airport,RU
NYM,Nadym Airport,RU
ORS,Waterport,AU
UGS,Ugashik,US
MWU,Mussau,PG
BLJ,Batna Airport,DZ
AIH,Aiambak,PG
BGX,Airport Cmdt. Gustavo Kraemer,BR
BMF,Bakouma,CF
BGY,Orio al Serio International Airport,IT
MKH,Mokhotlong,LS
BNY,Bellona,SB
KVG,Kavieng Airport,PG
NYO,Stockholm Skavsta Airport,SE
NYR,Nyurba Airport,RU
NYS,New York Skyports Seaplane Base,US
BRH,Brahman,PG
BHD,George Best Belfast City Airport,GB
UES,Waukesha,US
NYT,Nay Pyi Taw Airport,MM
UET,Quetta Airport,PK
OBL,Zoersel,BE
OBN,Oban Airport,GB
OBO,Tokachi-Obihiro Airport,JP
OBX,Obo,PG
UFA,Ufa International Airport,RU
OCS,Corisco International Airport,GQ
UGC,Urgench Airport,UZ
UGU,Zugapa,ID
UIB,El Carano Airport,CO
UKI,Ukiah,US
UKK,Ust-Kamenogorsk Airport,KZ
BWQ,Brewarrina,AU
BWS,Blaine,US
OFF,Offutt Air Force Base,US
OGG,Kahului Airport,US
BWU,Sydney Bankstown,AU
OGL,Ogle Airport,GY
OGN,Yonaguni Jima,JP
UKS,Belbek,KX
BXD,Bade,ID
OGR,Bongor,TD
DIP,Diapaga,BF
HED,Herendeen,US
OGS,Ogdensburg Airport,US
OSL,Oslo Airport Gardermoen,NO
OSN,Osan AB,KR
OSR,Mosnov Airport,CZ
OSS,Osh Airport,KG
OST,Ostend-Bruges International Airport,BE
OSU,Ohio State University,US
HLW,Hluhluwe,ZA
ALG,Houari Boumediene Airport,DZ
BNB,Boende,CD
AMB,Ambilobe,MG
ANM,Antsirabato,MG
BOE,Boundji,CG
ANR,Antwerp International Airport,BE
BIK,Mokmer Airport,ID
BIL,Billings Logan International Airport,US
BIN,Bamiyan,AF
BIO,Bilbao Airport,ES
BIS,Bismarck Airport,US
BYJ,Beja International,PT
BJB,Bojnord,IR
KKW,Kikwit,CD
BYM,C.M. de Cespedes,CU
BYN,Bayankhongor,MN
UKX,Ust-Kut Airport,RU
ULI,Ulithi,FM
ULK,Lensk Airport,RU
ULM,New Ulm,US
OTU,Otu,CO
ULQ,Farfan,CO
ULX,Ulusaba,ZA
ULZ,Uliastai,MN
UMA,Punta De Maisi,CU
BYO,Bonito Airport,BR
UME,Umea Airport,SE
URJ,Uraj Airport,RU
BYS,Bicycle Lake AAF,US
BYV,Beira Lake SPB,LK
BZF,Benton Field,US
OUA,Ouagadougou International Airport,BF
BZK,Bryansk International Airport,RU
OUE,Ouesso,CG
BZR,Beziers Vias Airport,FR
OUH,Oudtshoorn,ZA
OUR,Batouri,CM
URT,Surat Thani Airport,TH
OUS,Ourinhos,BR
PRT,Coast Guard Heliport,US
OUT,Bousso,TD
OVA,Bekily,MG
OVD,Asturias Airport,ES
OVR,Olavarria,AR
PAD,Paderborn Lippstadt Airport,DE
SQW,Skive Airport,DK
RMN,Rumginae,PG
MNY,Mono,SB
PAE,Snohomish County - Paine Field,US
PAG,Pagadian Airport,PH
BKS,Fatmawati Soekarno Airport,ID
PAH,Barkley Regional Airport,US
UYU,Uyuni,BO
PAN,Pattani,TH
PAO,Palo Alto,US
PAP,Toussaint Louverture International Airport,HT
PEI,Matecana International Airport,CO
BKW,Beckley Airport,US
PLJ,Placencia,BZ
NSI,Nsimalen Airport,CM
PNL,Pantelleria Airport,IT
PNO,Pinotepa Nacional,MX
PNQ,Pune Airport,IN
PSE,Mercedita Airport,PR
PSF,Pittsfield,US
BLA,General Jose Antonio Anzoategui International Airport,VE
URY,Gurayat Airport,SA
PSK,New River Valley,US
UTS,Ust-Tsilma,RU
PSP,Palm Springs International Airport,US
PSR,Abruzzo Airport,IT
PSS,Posadas Airport,AR
PSU,Putussibau Airport,ID
NIN,Ninilchik,US
NKN,Nankina,PG
BLH,Blythe,US
NMN,Nomane,PG
BLI,Bellingham International Airport,US
BLK,Blackpool Airport,GB
BLR,Kempegowda International Airport,IN
BLT,Blackwater,AU
BMA,Bromma Airport,SE
PEL,Pelaneng,LS
BMB,Bumba,CD
NJC,Nizhnevartovsk Airport,RU
NJF,Al-Najaf International Airport,IQ
BMC,Brigham City,US
IIA,Inishmaan,IE
NVN,Nervino,US
NWI,Norwich International Airport,GB
OAX,Xoxocotlan Airport,MX
OBF,Oberpfaffenhofen,DE
ORL,Orlando Executive,US
VAN,Van Ferit Melen Airport,TR
ORU,Oruro,BO
OSB,Osage Beach,US
VAR,Varna Airport,BG
OSM,Mosul,IQ
NGP,NAS,US
OMD,Oranjemund Airport,NA
NUP,Nunapitchuk,US
OBM,Morobe,PG
OKP,Oksapmin,PG
OFJ,Olafsfjordur,IS
NHZ,NAS,US
NIC,Nicosia International,CY
BMH,Bomai,PG
NIX,Nioro,ML
BNO,Burns,US
BNS,Barinas,VE
BNX,Banja Luka Airport,BA
BOC,Bocas Del Toro,PA
NGK,Nogliki Airport,RU
BOG,El Dorado International Airport,CO
BOM,Chhatrapati Shivaji International Airport,IN
NHA,Nha Trang,VN
BOO,Bodo Airport,NO
BOS,Logan International Airport,US
BPG,Barra Do Garcas,BR
NHT,Northolt,GB
BPH,Bislig,PH
NIM,Niamey Airport,NE
BPM,Begumpet,IN
NIR,Chase Field NAS,US
NIO,Nioki,CD
NIT,Niort,FR
IMN,Imane,PG
INF,Newark Liberty International,DZ
BRQ,Turany Airport,CZ
PPW,Papa Westray Airport,GB
OFI,Ouango Fitini,CI
NJA,Atsugi NAS,JP
NJJ,Nenjian Melgen Airport,CN
VCE,Venice Marco Polo Airport,IT
NKA,Nkan,GA
NMT,Namtu,MM
NMU,Namu,MH
NNA,NAF,MA
NND,Nangade,MZ
NKG,Nanjing Lukou International Airport,CN
NKM,Nagoya Airport,JP
NKP,Nakhon Phanom Airport,TH
NLD,Quetzalcoatl International Airport,MX
BRS,Bristol Airport,GB
NLE,Jerry Tyler Memorial,US
UNT,Baltasound,GB
NLH,Ninglang Luguhu Airport,CN
AHU,Charif Al Idrissi Airport,MA
NLI,Nikolaevsk-na-Amure,RU
BRD,Crow Wing County Airport,US
BRE,Bremen Airport,DE
BRM,Barquisimeto Airport,VE
NLK,Norfolk Island Airport,NF
BRN,Bern Airport,CH
BRU,Brussels Airport,BE
NLN,Kneeland,US
BSD,Baoshan Airport,CN
BSN,Bossangoa,CF
NLO,N'dolo,CD
NLP,Nelspruit Airport,ZA
NLT,Nalati Airport,CN
GOC,Gora,PG
MJA,Manja,MG
NLV,Nikolaev (Mykolaiv),UA
NNR,Connemara,IE
NNT,Nan Airport,TH
NNU,Nanuque,BR
NOC,Ireland West Airport Knock,IE
NOK,Nova Xavantina,BR
NOS,Fascene Airport,MG
NOT,Novato,US
NOU,Tontouta Airport,NC
NOV,Huambo,AO
BLE,Dala Airport,SE
NPH,Nephi,US
BSP,Bensbach,PG
NPL,New Plymouth Airport,NZ
NPY,Mpanda Airport,TZ
NQY,Newquay Cornwall Airport,GB
BTA,Yaoundé,CM
VIR,Virginia,ZA
NRA,Narrandera,AU
NSE,Whiting Field NAS,US
NSF,Andrews NAF,US
NSH,Now Shahr Airport,IR
NSV,Noosaville,AU
NSN,Nelson Airport,NZ
NTX,Natuna Ranai,ID
BUD,Budapest Ferenc Liszt International Airport,HU
NUA,Gregory's Lake,LK
NSY,NAS Sigonella,IT
BUF,Buffalo Niagara International Airport,US
NTB,Notodden Airport,NO
NTC,Santa Carolina,MZ
NTD,Point Mugu NAS (Naval Base Ventura County,US
BUJ,Ain Eddis,DZ
BUL,Bulolo,PG
BUQ,Bulawayo Airport,ZW
BUR,Bob Hope Airport,US
BUS,Batumi Airport,GE
BUT,Bathpalathang Airport,BT
BVG,Berlevag Airport,NO
BVO,Bartlesville,US
NRK,Kungsangen Airport,SE
KSX,Yasuru,PG
BZG,Bydgoszcz Airport,PL
EMN,Nema,MR
NTI,Bintuni,ID
NTJ,Manti-Ephraim,US
BZH,Bumi Hills,ZW
NRN,Weeze Airport,DE
NRT,Narita International Airport,JP
NTO,Santo Antao,CV
NSL,Slayton Municipal,US
NTR,Aeropuerto del Norte International Airport,MX
NTT,Kuini Lavenia,TO
NTU,NAS,US
NTY,Pilanesberg International Airport,ZA
NSO,Scone,AU
NST,Nakhon Si Thammarat Airport,TH
NTE,Nantes Atlantique Airport,FR
NUS,Norsup Airport,VU
NWP,NS,CA
NVP,Novo Aripuana,BR
NVS,Nevers,FR
NWU,Bermuda NAS,BM
BZI,Balikesir,TR
NXX,Willow Grove NAS,US
NVT,Navegantes Airport,BR
BZL,Barisal Airport,BD
BEM,Beni Mellal Airport,MA
BGH,Abbaye,MR
BOH,Bournemouth Airport,GB
NYE,Nyeri,KE
BXO,Buochs,CH
BXR,Bam,IR
BXU,Butuan Airport,PH
BYC,Yacuiba,BO
BYU,Bindlacher-Berg,DE
BZC,Buzios,BR
BZN,Bozeman Yellowstone International Airport,US
BZO,Bolzano,IT
BZZ,Raf Brize Norton,GB
CFD,Coulter Field,US
NYG,Quantico NAS,US
NYK,Nanyuki,KE
CBO,Awang Airport,PH
SGJ,Sagarai,PG
GMT,Granite Mountain,US
VNO,Vilnius International Airport,LT
GRH,Garuahi,PG
MPN,Mount Pleasant,FK
MYO,Myroodah,AU
CBQ,Calabar Airport,NG
ODA,Ouadda,CF
NWH,Parlin Field,US
NYI,Sunyani,GH
NYN,Nyngan,AU
VNS,Lal Bahadur Shastri International Airport,IN
NYW,Monywar Airport,MM
OBK,Sky Harbor,US
OBD,Obano,ID
ATR,Mouakchott,MR
BWP,Bewani,PG
OBS,Vals-Lanas,FR
OCA,Ocean Reef,US
OCE,Municipal,US
CAK,Akron-Canton Airport,US
OCF,Taylor Field,US
CAL,Machrihanish Airport,GB
OCJ,Boscobel,JM
OCN,Municipal,US
CAP,Cap Haitien Airport,HT
OCV,Aguasclaras,CO
OCW,Warren Field,US
ODJ,Ouanda Djalle,CF
CAY,Felix Eboue Airport,GF
CAZ,Cobar,AU
CBE,Greater Cumberland Regional,US
CBJ,Cabo Rojo,DO
CBV,Coban,GT
CGM,Mambajao,PH
CGN,Cologne Bonn Airport,DE
OGB,Municipal,US
OGD,Municipal,US
OGO,Abengourou,CI
OGU,Ordu Giresun Airport,TR
OGV,Ongava Game Reserve,NA
VPS,Destin Fort Walton Beach Airport,US
ALZ,Alitak SPB,US
CCP,Carriel Sur Airport,CL
OPB,Open Bay,PG
CDC,Cedar City Airport,US
ONE,Onepusu,SB
OUK,Outer Skerries,GB
WYB,SPB,US
OHA,Royal Air Force Base,NZ
ENJ,El Naranjo,GT
OHI,Oshakati,NA
CCR,Buchanan Field,US
IKL,Ikela,CD
OHR,Wyk Auf Foehr,DE
OKT,Oktiabrskij,RU
OLC,Sen. Eunice Micheles,BR
OLD,Old Town,US
OLE,Municipal,US
SGW,Saginaw Bay,US
OLF,Wolf Point International Airport,US
OLG,Olare Airport,KE
OLI,Rif,IS
OLL,Ollombo,CG
OLN,Colonia Sarmiento,AR
OLO,Olomouc,CZ
OHS,Sohar Airport,OM
CDI,Cachoeiro Itapemirim,BR
OLR,Salerno Air Base,AF
OLS,International,US
OIM,Oshima,JP
OIT,Oita Airport,JP
OJC,Johnson Executive,US
KEE,Kelle,CG
CDR,Chadron Airport,US
ABO,Aboisso,CI
ABW,Abau,PG
OKA,Naha Airport,JP
CCS,Simon Bolivar International Airport,VE
CDT,Castellon,ES
OKD,Okadama Airport,JP
OKJ,Okayama Airport,JP
CHT,Karewa,NZ
OKK,Kokomo,US
OKY,Oakey,AU
VPZ,Porter County,US
OLA,Orland,NO
OLB,Olbia Costa Smeralda Airport,IT
GNU,Goodnews Bay,US
KGR,Kulgera,AU
MYH,Marble Canyon,US
OMB,Omboue,GA
OLJ,Olpoi,VU
YWM,Williams Harbour,CA
OLM,Olympia,US
OOM,Snowy Mountains Airport,AU
OPA,Kopasker,IS
OMA,Eppley Airfield,US
SHK,Sehonghong,LS
CFB,Cabo Frio International Airport,BR
SMJ,Sim,PG
CFC,Cacador,BR
OMC,Ormoc,PH
OMF,King Hussein,JO
OMH,Urmia Airport,IR
KBO,Kabalo,CD
AJJ,Akjoujt,MR
OMO,Mostar Airport,BA
OMR,Oradea Airport,RO
OMS,Omsk Airport,RU
OND,Ondangwa Airport,NA
ONJ,Odate Noshiro Airport,JP
BXE,Bakel,SN
ONK,Olenyok Airport,RU
CEK,Chelyabinsk International Airport,RU
ONO,Ontario Municipal Airport,US
ONQ,Zonguldak,TR
CEN,Ciudad Obregon Airport,MX
ONS,Onslow Airport,AU
OSF,Ostafyevo International Business Airport,RU
OSH,Wittman Field,US
OSI,Osijek Airport,HR
OSJ,Ol Seki Airport,KE
OSK,Oskarshamn,SE
OTT,Andre Maggi,BR
CEQ,Mandelieu,FR
CER,Maupertus,FR
CEZ,Montezuma County Airport,US
CJH,Chilko Lake,CA
CJN,Gillespie Field,US
VSA,Carlos Rovirosa Perez International Airport,MX
CKA,Kegelman Af,US
OSX,Attala County,US
OTN,Green,US
OUD,Les Angades Airport,MA
OVG,Overberg (FAOB),ZA
OUG,Ouahigouya,BF
OUL,Oulu Airport,FI
OUM,Oum Hadjer,TD
CFN,Donegal Airport,IE
OUN,Max Westheimer,US
OUZ,Zouerate,MR
OVB,Novosibirsk Tolmachevo Airport,RU
OVL,Ovalle,CL
OVS,Sovetsky Airport,RU
OWA,Owatonna,US
OWB,Daviess County Airport,US
AEO,Aioun El Atrouss,MR
OWD,Memorial,US
AZZ,Ambriz,AO
OYS,Yosemite Ntl Park,US
OZA,Ozona Municipalcipal,US
OZC,Labo Airport,PH
BKJ,Boke,GN
OZG,Zagora Airport,MA
OYE,Oyem,GA
CFE,Clermont-Ferrand Auvergne Airport,FR
OZP,Moron,ES
CFS,Coffs Harbour Airport,AU
OZR,Cairns AAF,US
OZU,Montilla,ES
PAA,Pa-an,MM
PAB,Bilaspur,IN
PAC,Marcos A. Gelabert International Airport,PA
KMK,Makabana,CG
CFG,Jaime Gonzalez Airport,CU
OZZ,Ouarzazate Airport,MA
PAK,Port Allen,US
PAF,Pakuba,UG
PAV,Paulo Afonso Airport,BR
PAJ,Para Chinar,PK
PAM,Tyndall AFB,US
CFK,Chlef International Airport,DZ
CFU,Ioannis Kapodistrias Airport,GR
CGD,Changde Airport,CN
CGF,Cuyahoga County,US
NDB,Nouadhibou Airport,MR
ORN,Es Senia Airport,DZ
PEB,Pebane,MZ
CIC,Chico Municipal Airport,US
PAQ,Palmer Municipalcipal,US
PAS,Paros Airport,GR
PAT,Jay Prakash Narayan International Airport,IN
EIA,Popondetta,PG
ALJ,Alexander Bay Airport,ZA
PCL,Capitan Rolden Airport,PE
FGD,Fderik,MR
VYI,Vilyuisk,RU
BZU,Buta,CD
PCM,Playa Del Carmen,MX
WGO,Winchester Regional,US
PCN,Picton Aerodrome,NZ
PBD,Porbandar,IN
PCP,Principe,ST
PBF,Grider Field,US
PBI,Palm Beach International Airport,US
CHM,Chimbote,PE
PCS,Picos,BR
PBL,Puerto Cabello,VE
PBM,Zanderij International Airport,SR
PBU,Putao,MM
PBZ,Plettenberg Bay Airport,ZA
PCB,Pondok Cabe,ID
CHO,Charlottesville Albemarle Airport,US
PCD,Prairie du Chien Municipal Airport,US
PCF,Potchefstroom,ZA
PCQ,Bounneua,LA
PEQ,Pecos City,US
PER,Perth Airport,AU
CHQ,Chania International Airport,GR
PES,Petrozavodsk Airport,RU
CIG,Craig-Moffat,US
CIH,Changzhi Airport,CN
CIY,Comiso Airport,IT
CMY,Fort Mccoy,US
CMZ,Caia,MZ
PET,Federal Airport,BR
PEU,Puerto Lempira,HN
PGB,Pangoa,PG
WIC,Wick Airport,GB
PFJ,Patreksfjordur,IS
PAW,Pambwa,PG
PDG,Minangkabau International Airport,ID
PDL,Joao Paulo II Airport,PT
CJM,Chumphon Airport,TH
CJS,Abraham Gonzalez International Airport,MX
WJA,Woja,MH
PDO,Pendopo,ID
PDR,Presidente Dutra,BR
PDT,Eastern Oregon Regional Airport,US
PDU,Paysandu,UY
PDX,Portland International Airport,US
PDZ,Pedernales,VE
PEH,Pehuajo,AR
PEX,Pechora Airport,RU
PGN,Pangia,PG
PGU,Ala'Marvdasht Airport,IR
PGX,Perigueux Airport,FR
KND,Kindu,CD
CJT,Copalar,MX
PGZ,Comte Antonio Amilton Beraldo Airport,BR
PHA,Phan Rang,VN
PHB,Santos Dumont,BR
PHG,Port Harcourt City,NG
PHH,Phan Thiet,VN
CKV,Outlaw Field,US
CLA,Comilla,BD
PHI,Pinheiro,BR
CLE,Cleveland Hopkins International Airport,US
PHJ,Port Hunter,AU
PFB,Passo Fundo Airport,BR
PFO,Paphos International Airport,CY
PFQ,Parsabad,IR
CLJ,Avram Iancu Cluj International Airport,RO
CLL,Easterwood Airport,US
CON,Concord,US
PHP,Philip,US
NDD,Sumbe,AO
PFR,Ilebo,CD
PGH,Pantnagar Airport,IN
CQP,Cape Flattery,AU
PGK,Depati Amir Airport,ID
LIV,Livengood,US
PGQ,Buli Airport,ID
CMX,Houghton County Airport,US
CNB,Coonamble,AU
CNF,Tancredo Neves International Airport,BR
PGS,Peach Springs,US
PGV,Pitt-Greenville Airport,US
PHC,Port Harcourt International Airport,NG
PHF,Newport News/Williamsburg International Airport,US
PJM,Puerto Jimenez,CR
PJZ,Puerto Juarez,MX
PHS,Phitsanulok Airport,TH
PKB,Wood County Airport,US
CNM,Cavern City Air Terminal,US
PKC,Petropavlovsk-Kamchatsky Airport,RU
PKD,Park Rapids,US
PHT,Henry County,US
PKF,Park Falls,US
CNN,Kannur International Airport,IN
PHW,Phalaborwa Airport,ZA
CNO,Chino,US
ANZ,Angus Downs,AU
AOA,Aroa,PG
PKH,Alexion,GR
PHX,Phoenix Sky Harbor International Airport,US
PHY,Phetchabun,TH
PIA,Peoria International Airport,US
BGJ,Borgarfjordur Eystri,IS
BZV,Maya Maya Airport,CG
CMI,Willard University Airport,US
CSJ,Cape St Jacques,VN
CNS,Cairns Airport,AU
CNX,Chiang Mai International Airport,TH
PTC,Port Alice,US
CRK,Diosdado Macapagal International (Clark International),PH
PKM,Port Kaituma,GY
EAL,Elenak,MH
EGM,Sege Airport,SB
PIB,Hattiesburg-Laurel Regional Airport,US
PIE,St. Petersburg-Clearwater International Airport,US
PIH,Pocatello Regional Airport,US
PIN,Parintins,BR
PIR,Pierre Regional Airport,US
PJB,Payson,US
WVK,Manakara,MG
PLP,La Palma,PA
WVL,Robert Lafleur,US
PLT,Plato,CO
PLU,Belo Horizonte Airport,BR
PLV,Poltava,UA
CRL,Charleroi Brussels South Airport,BE
ASK,Yamoussoukro,CI
BVC,Rabil Airport,CV
PLY,Plymouth,US
CQD,Shahre-kord,IR
CRA,Craiova Airport,RO
PMA,Wawi Airport,TZ
CRE,Grand Strand Airport,US
CRV,Crotone,IT
PMB,Intermediate,US
PMD,La Palmdale Regional Airport,US
YYE,Northern Rockies Regional Airport,CA
YYF,Penticton Airport,CA
YYG,Charlottetown Airport,CA
YYJ,Victoria International Airport,CA
CSM,Sherman,US
PME,Portsmouth,GB
PMG,International,BR
CST,Castaway,FJ
PMH,Greater Portsmouth Regional,US
POI,Potosi,BO
PNJ,Peng Lai/Sha He Kou,CN
PNK,Supadio International Airport,ID
PIQ,Pipillipai,GY
POM,Jacksons International Airport,PG
AIG,Yalinga,CF
AMH,Arba Mintch Airport,ET
AQY,Alyeska,US
PNG,Paranagua,BR
PNN,Princeton,US
DIW,Mawella Lagoon Airport,LK
DOE,Djoemoe,SR
PNU,Panguitch,US
PNT,Teniente J. Gallardo,CL
PNV,Panevezys,LT
EPN,Epena,CG
PNX,Grayson County,US
PNY,Pondicherry,IN
BTO,Botopasie,SR
PNZ,Petrolina International Airport,BR
CBU,Cottbus,DE
POB,Pope AFB,US
COA,Columbia,US
CSK,Cap Skirring,SN
CSN,Carson City,US
CSU,Santa Cruz Do Sul,BR
BCG,Bemichi,GY
CTA,Catania-Fontanarossa Airport,IT
POC,Brackett Field,US
GWN,Gnarowein,PG
HZP,Horizon,CA
YZY,Zhangye Ganzhou Airport,CN
ZAD,Zadar Airport,HR
ZAG,Zagreb International Airport,HR
POE,Polk AAF,US
POF,Earl Fields Memorial,US
ZAM,Zamboanga International Airport,PH
ZIS,Alzintan Airport,LY
ZJG,Jenpeg,CA
BEQ,Honington,GB
ZJN,Swan River,CA
ZKB,Kasaba Bay,ZM
CTG,Rafael Nunez International Airport,CO
CUI,Currillo,CO
PPM,Pompano Beach,US
PPR,Pasir Pangarayan,ID
CVC,Cleve,AU
LZM,Luzamba,AO
CVE,Covenas,CO
CVF,Courchevel,FR
AIW,Ai-ais,NA
AZB,Amazon Bay,PG
XGR,Kangiqsualujjuaq Airport,CA
CDL,Candle,US
POJ,Patos De Minas,BR
CUL,Culiacan International Airport,MX
CUM,Cumana,VE
PPU,Papun,MM
CUN,Cancun International Airport,MX
POO,Pocos De Caldas,BR
POR,Pori Airport,FI
PQC,Phu Quoc Airport,VN
CUP,Carupano,VE
CUR,Curacao International Airport,CW
CUT,Cutral,AR
CUU,Gen Fierro Villalobos Airport,MX
CUV,Casigua,VE
PQD,Pasikudha SPB,LK
PQI,Presque Isle Municipal Airport,US
POS,Piarco International Airport,TT
POZ,Poznan Airport,PL
PPF,Tri-City,US
PPI,Port Pirie,AU
CUZ,Alejandro Velasco Astete International Airport,PE
CVG,Cincinnati/Northern Kentucky Airport,US
PPJ,Pulau Panjang,ID
XPK,Pukatawagan,CA
CVI,Caleta Olivia,AR
PPK,Petropavlovsk Airport,KZ
PPN,Guillermo Leon Valencia Airport,CO
PPQ,Paraparaumu Airport,NZ
PPS,Puerto Princesa International Airport,PH
PSI,Pasni,PK
PSD,Port Said,EG
PSH,St Peter,DE
PSJ,Poso,ID
PSL,Perth,GB
CVJ,General Mariano Matamoros Airport,MX
CVM,Ciudad Victoria Airport,MX
PSM,Pease Air Force Base,US
PSN,Palestine Municipalcipal Airport,US
PSO,Cano Airport,CO
PSQ,SPB,US
CXI,Christmas Island Airport,KI
GRC,Grand Cess,LR
CXJ,Hugo Cantergiani Regional Airport,BR
CXL,International,US
CXO,Montgomery Co,US
CXP,Tunggul Wulung,ID
CXR,Cam Ranh International Airport,VN
CXT,Charters Towers,AU
CYC,Caye Chapel,BZ
AXU,Axum Airport,ET
BDZ,Baindoung,PG
BFX,Bafoussam,CM
BGB,Booue,GA
BGK,Big Creek,BZ
BOV,Boang,PG
CWA,Central Wisconsin Airport,US
CWB,Afonso Pena International Airport,BR
YAA,Anahim Lake,CA
PST,Preston,CU
XSI,South Indian Lake,CA
CWC,Chernivtsi International Airport,UA
CWF,Chennault International.,US
CWI,Clinton,US
CWJ,Cangyuan Washan Airport,CN
CWL,Cardiff Airport,GB
CWT,Cowra,AU
CWW,Corowa,AU
CWX,Cochise County Airport,US
CXA,Caicara Del Orinoco,VE
CXB,Coxs Bazar Airport,BD
CXC,Chitina Airport,US
MBF,Mount Buffalo,AU
CGT,Chinguitti,MR
MDM,Munduku,PG
CHY,Choiseul Bay Airport,SB
PQS,Pilot Station Airport,US
CYD,San Ignacio Town Airstrip,BZ
YCO,Kugluktuk Airport,CA
CYE,Crystal Lake,US
CYI,Chiayi Airport,TW
GEF,Geva Airstrip,SB
RMZ,Tobolsk Remezov Airport,RU
QDV,Comte. Rolim Adolfo Amaro State Airport,BR
QKS,Keystone Airport,US
CYL,Coyoles,HN
SDW,Sindhudurg Airport,IN
CYM,Chatham SPB,US
CYO,Cayo Largo Del Sur Airport,CU
CYP,Calbayog Airport,PH
CYR,Laguna De Los Patos,UY
CYU,Cuyo,PH
SAP,Ramon Villeda Morales International Airport,HN
CYW,Celaya,MX
CYX,Cherskiy Airport,RU
YBX,Blanc Sablon,CA
SFB,Orlando Sanford International Airport,US
CYZ,Cauayan Airport,PH
SFY,Tri-Township Airport,US
CZA,Chichen Itza,MX
SGC,Surgut Airport,RU
SGF,Springfield-Branson National Airport,US
SGN,Tan Son Nhat International Airport,VN
SGO,St George,AU
SGQ,Sanggata,ID
SGX,Songea,TZ
CZB,Carlos Ruhl,BR
CZE,Coro,VE
SGY,Skagway Municipal,US
SGZ,Songkhla,TH
SKG,Thessaloniki International Airport,GR
SKN,Stokmarknes Skagen Airport,NO
SLU,George F. L. Charles Airport,LC
SLY,Salekhard Airport,RU
SOF,Sofia Airport,BG
SOG,Sogndal Airport,NO
MFO,Manguna,PG
YEK,Arviat,CA
YIB,Atikokan,CA
SOJ,Sorkjosen Airport,NO
BMQ,Bamburi,KE
CHU,Chuathbaluk Airport,US
CZJ,Corazon De Jesus,PA
CZK,Cascade Locks/Stevens,US
RCP,Cinder River,US
QCU,Heliport,GL
CZM,Cozumel Airport,MX
YFX,Fox Harbour (St Lewis),CA
CZS,Campo Internacional Airport,BR
CZT,Carrizo Springs,US
CZU,Corozal Airport,CO
QFI,Heliport,GL
CZW,Czestochowa,PL
PVK,Aktion Airport,GR
PVL,Pike County Airport,US
CZX,Changzhou Airport,CN
PVO,Reales Tamarindos,EC
YEV,Inuvik Mike Zubko Airport,CA
PVS,Provideniya,RU
YGM,Gimli,CA
PVU,Provo Airport,US
CZZ,Campo,US
DAA,Davison AAF,US
PWE,Pevek Airport,RU
DAB,Daytona Beach International Airport,US
PWK,Chicago Executive Airport,US
PWM,Portland International Jetport,US
PWN,Pitts Town,BS
DAC,Hazrat Shahjalal International Airport,BD
PWQ,Pavlodar Airport,KZ
DAD,Da Nang International Airport,VN
PWT,Bremerton,US
SPH,Sopu,PG
YHC,Hakai Pass,CA
DBY,Dalby,AU
DCI,Rafsu Decimomannu,IT
DCM,Mazamet Airport,FR
DCR,Decatur Hi-Way,US
DCT,Duncan Town,BS
DDP,Dorado Beach,PR
DCU,Pyor,US
DCY,Daocheng Yading Airport,CN
YHY,Hay River,CA
DDU,Dadu,PK
PXO,Porto Santo Airport,PT
PXR,Surin,TH
QSZ,Shache Airport,CN
RBD,Redbird,US
RBF,Big Bear City Airport,US
COO,Cotonou Airport,BJ
RBK,French Valley,US
YPJ,Aupaluk Airport,CA
CPG,Carmen De Patagones,AR
CUS,Municipal,US
YKK,Kitkatla,CA
RFP,Raiatea Airport,PF
RGO,Orang,KP
DAG,Barstow-Daggett,US
DAJ,Dauan Island,AU
RGS,Burgos,ES
RHI,Oneida County Airport,US
RHO,Rhodes Airport,GR
RJI,Rajouri,IN
DAL,Dallas Love Field,US
DAM,Damascus International Airport,SY
DAN,Municipal,US
SBC,Selbang,PG
DAP,Darchula,NP
DAS,Great Bear Lake,CA
RNB,Kallinge Airport,SE
RJK,Rijeka Airport,HR
DAT,Datong Airport,CN
DAV,Enrique Malek Airport,PA
DAX,Dazhou Heshi Airport,CN
DAY,James M. Cox Dayton International Airport,US
DEB,Debrecen Airport,HU
DAZ,Darwaz,AF
DEF,Dezful Airport,IR
GRL,Garasa,PG
RJL,Agoncillo Airport,ES
RJM,Marinda Airport,ID
YFI,Firebag,CA
YKQ,Waskaganish Airport,CA
DBA,Dalbandin,PK
DBD,Dhanbad,IN
DBN,Municipal,US
DBO,Dubbo City Regional Airport,AU
DBP,Debepare,PG
DBQ,Dubuque Municipal Airport,US
DBS,Dubois,US
